Query,Category
I want to travel to Houston,city_query
I wanna go to Salt Lake City,city_query
I want to visit Chicago,city_query
Oregon,city_query
San Diego,city_query
Boston,city_query
Las Vegas,city_query
Tucson,city_query
El Paso,city_query
Boise,city_query
What's the weather like?,weather_query
Can you tell me the weather in Chicago?,weather_query
What's the temperature in Seattle?,weather_query
Help me with the weather forecast,weather_query
How hot is it in San Francisco?,weather_query
Food in San Jose,restaurant_query
Restaurants in Phoenix,restaurant_query
Are there any restaurants in Baltimore?,restaurant_query
I wanna grab food in Detroit,restaurant_query
Places to eat in Austin,restaurant_query
Hotels in New York City,hotel_query
Where can I stay in Los Angeles?,hotel_query
Find me a place to stay in Miami,hotel_query
Accommodations in Orlando,hotel_query
Are there any hotels in Denver?,hotel_query
Looking for a hotel in Nashville,hotel_query
Where to stay in Atlanta,hotel_query
Book a hotel in Dallas,hotel_query
Best hotels in Seattle,hotel_query
Can you suggest a hotel in Las Vegas?,hotel_query
Show me places in Austin,city_query
I need information about Seattle,city_query
Tell me about places to visit in Denver,city_query
What's happening in Portland?,city_query
I'm looking for details about Orlando,city_query
Give me info on Philadelphia,city_query
What's going on in Miami?,city_query
I want to know about San Francisco,city_query
Can you tell me about Boston?,city_query
I'm interested in New Orleans,city_query
What's the current weather in Boston?,weather_query
How's the weather in New York City today?,weather_query
Tell me the temperature in Denver,weather_query
What's the forecast for Miami?,weather_query
Can you give me the weather report for Chicago?,weather_query
Is it raining in Seattle?,weather_query
How cold is it in Minneapolis?,weather_query
What's the humidity like in San Diego?,weather_query
Tell me if it's sunny in Las Vegas,weather_query
What's the weather in San Jose?,weather_query
Where can I eat in Dallas?,restaurant_query
Find me some good restaurants in San Diego,restaurant_query
What are the top places to eat in Houston?,restaurant_query
Any restaurant recommendations for Seattle?,restaurant_query
Show me dining options in San Francisco,restaurant_query
Are there any good eateries in Portland?,restaurant_query
Where can I get food in Miami?,restaurant_query
Best places to eat in Austin,restaurant_query
Restaurant suggestions for New York City,restaurant_query
Where should I dine in Chicago?,restaurant_query
What are the best hotels in San Francisco?,hotel_query
Find hotels in Seattle for me,hotel_query
Where can I stay in Boston?,hotel_query
Can you recommend hotels in Los Angeles?,hotel_query
What's a good place to stay in Miami?,hotel_query
Show me hotel options in Dallas,hotel_query
Find accommodation in San Diego,hotel_query
Hotels available in New York City?,hotel_query
Suggest a hotel in Denver,hotel_query
Where can I book a hotel in Chicago?,hotel_query
Where to stay in Las Vegas,hotel_query
I want to visit a new city,city_query
Tell me about the local weather,weather_query
Where can I find places to eat?,restaurant_query
Find me a place to stay,hotel_query
"I'm planning a trip to Washington, D.C.",city_query
What's the best way to get to New Orleans?,city_query
What's the weather like in San Antonio?,weather_query
Is it going to snow in Denver?,weather_query
Are there any vegetarian restaurants in Portland?,restaurant_query
Can you recommend a seafood restaurant in Boston?,restaurant_query
Looking for a cheap place to stay in Las Vegas,hotel_query
I need a hotel with a pool in Miami,hotel_query
What's the weather forecast for next week in Seattle?,weather_query
Can you find me a pet-friendly hotel in San Diego?,hotel_query
Where can I find a good sushi restaurant in Los Angeles?,restaurant_query
Are there any Michelin star restaurants in Chicago?,restaurant_query
Is there a good hotel near the beach in San Francisco?,hotel_query
Can you find a hotel with a gym in New York City?,hotel_query
What are the best hotels with free breakfast in Dallas?,hotel_query
Where can I get Italian food in New York City?,restaurant_query
Are there any hotels with spa services in Las Vegas?,hotel_query
What's the weather like in Orlando in December?,weather_query
Can you suggest a romantic restaurant in Paris?,restaurant_query
I need a budget hotel in Tokyo,hotel_query
Are there any good Chinese restaurants in San Francisco?,restaurant_query
What's the current weather in Houston?,weather_query
Are there any family-friendly hotels in Chicago?,hotel_query
Find me a luxury hotel in Los Angeles,hotel_query
What's the best seafood restaurant in Miami?,restaurant_query
Can you find a hotel near the airport in Boston?,hotel_query
Where can I find vegan food in Austin?,restaurant_query
Are there any bed and breakfasts in Seattle?,hotel_query
Can you recommend a quiet hotel in San Diego?,hotel_query
I need a hotel room with a view in New York City,hotel_query
Are there any rooftop restaurants in Los Angeles?,restaurant_query
What's the humidity level in Miami right now?,weather_query
Can you find me a dog-friendly restaurant in Chicago?,restaurant_query
What are the best budget hotels in Denver?,hotel_query
Is there a popular bar in San Francisco?,restaurant_query
Can you find a hotel with free parking in Seattle?,hotel_query
Where can I get Mexican food in San Diego?,restaurant_query
What's the best breakfast place in Boston?,restaurant_query
Are there any 5-star hotels in Las Vegas?,hotel_query
What's the weather like in New York City during the summer?,weather_query
Are there any 24-hour restaurants in Austin?,restaurant_query
Where can I find gluten-free food in Portland?,restaurant_query
Can you suggest a beachfront hotel in Miami?,hotel_query
What's the best time to visit Chicago?,city_query
Is it safe to travel to New Orleans?,city_query
Can you find a hotel with a hot tub in Los Angeles?,hotel_query
What's the current weather in Las Vegas?,weather_query
Where can I find barbecue in Houston?,restaurant_query
Is there a good bakery in San Francisco?,restaurant_query
Are there any hotels with family suites in Orlando?,hotel_query
Where can I get the best pizza in New York City?,restaurant_query
Can you suggest a hotel in Dallas with a conference room?,hotel_query
What's the weather like in Chicago during winter?,weather_query
Are there any good brunch spots in Seattle?,restaurant_query
Where can I find a late-night diner in Portland?,restaurant_query
Can you find a hotel with an indoor pool in Denver?,hotel_query
What are the best places to eat in New Orleans?,restaurant_query
Where can I find a boutique hotel in San Francisco?,hotel_query
